customer_id,age,gender,tenure_months,contract_type,internet_service,payment_method,paperless_billing,monthly_charges,total_charges,support_tickets,churn_score,churn
C10000,26.0,Male,28,One year,fiber optic,Electronic check,No,43.33,1109.33,1,10.4,No
C10001,38.0,Male,39,Month-to-month,Fiber optic,Mailed check,Yes,46.06,1770.79,1,23.7,No
C10002,,Male,60,Two year,DSL,Mailed check,Yes,119.06,7046.62,1,0.0,No
C10003,24.0,Male,31,One year,Fiber optic,Credit card,No,104.64,3267.57,1,19.0,No
C10004,57.0,Female,26,Month-to-month,Fiber optic,Electronic check,Yes,55.94,1391.43,0,50.1,Yes
C10005,59.0,Male,9,Two year,Fiber optic,Mailed check,Yes,57.0,545.04,1,34.5,No
C10006,47.0,Male,26,One year,Fiber Optic,Bank transfer,Yes,39.72,1132.43,2,17.1,No
C10007,20.0,Female,9,One year,Fiber optic,Electronic check,Yes,23.02,189.9,4,22.1,No
C10008,20.0,Female,13,Month-to-month,,Credit card,No,62.43,851.25,1,16.6,Yes
C10009,35.0,Female,69,Month-to-month,DSL,Credit card,No,43.05,3068.63,2,16.5,Yes
C10010,24.0,Female,6,Month-to-month,DSL,Mailed check,No,63.13,375.46,1,28.1,No
C10011,23.0,Female,35,Two year,DSL,Bank transfer,Yes,29.8,939.64,2,4.1,No
C10012,27.0,Male,60,One year,DSL,Credit card,Yes,48.24,3081.7,2,5.3,No
C10013,29.0,Female,69,Two year,Fiber optic,Bank transfer,Yes,68.27,5225.83,1,10.4,Yes
C10014,69.0,Female,10,Month-to-month,DSL,Electronic check,Yes,73.06,763.4,1,31.9,No
C10015,57.0,Female,11,Month-to-month,DSL,Electronic check,Yes,74.18,895.8,2,28.1,Yes
C10016,19.0,Female,27,One year,Fiber optic,Mailed check,No,35.95,1082.98,1,13.4,No
C10017,,Male,40,Month-to-month,DSL,Electronic check,Yes,83.8,3167.82,2,22.0,No
C10018,26.0,Female,70,Two year,Fiber optic,Mailed check,No,47.4,3392.06,0,8.1,No
C10019,44.0,Male,15,One year,DSL,Bank transfer,Yes,78.92,,3,23.3,No
C10020,20.0,Female,12,One year,DSL,Bank transfer,Yes,64.77,867.7,1,12.7,No
C10021,23.0,Female,18,Month-to-month,No,Electronic check,No,34.72,547.05,0,21.5,No
C10022,26.0,Male,63,Two year,No,Electronic check,No,58.04,3515.16,3,0.0,No
C10023,44.0,Female,2,Two year,DSL,Electronic check,Yes,73.04,158.7,1,3.5,No
C10024,46.0,Male,27,One year,DSL,Mailed check,Yes,78.49,1963.88,0,1.7,No
C10025,39.0,Male,8,Month-to-month,DSL,Credit card,Yes,61.9,526.25,1,34.5,Yes
C10026,56.0,Male,11,Month-to-month,Fiber optic,Mailed check,Yes,98.7,1035.05,1,52.1,Yes
C10027,62.0,Female,66,Month-to-month,No,Mailed check,Yes,87.17,6412.51,0,24.6,No
C10028,63.0,Female,0,Month-to-month,,Bank transfer,Yes,59.35,0.0,1,32.4,No
C10029,53.0,Female,23,One year,,Electronic check,Yes,81.5,1745.83,1,21.3,No
C10030,51.0,Female,66,One year,Fiber optic,Electronic check,Yes,107.54,7508.96,3,33.2,Yes
C10031,48.0,Female,44,Two year,No,Electronic check,No,108.13,4476.78,1,6.8,No
C10032,32.0,Male,5,Month-to-month,Fiber optic,Bank transfer,No,37.98,192.51,1,42.4,No
C10033,48.0,Female,33,Month-to-month,Fiber optic,Mailed check,Yes,44.62,1513.38,0,50.9,No
C10034,18.0,Male,70,Month-to-month,Fiber optic,Bank transfer,Yes,97.67,7342.77,1,38.7,Yes
C10035,77.0,Female,29,Month-to-month,Fiber optic,Bank transfer,Yes,41.72,1036.39,1,40.2,No
C10036,40.0,Female,38,Month-to-month,Fiber optic,Mailed check,No,35.9,1240.66,1,25.0,Yes
C10037,64.0,Male,38,Month-to-month,DSL,Credit card,No,54.3,2150.51,1,22.2,No
C10038,77.0,Female,48,Month-to-month,Fiber optic,Credit card,No,74.24,3571.19,2,37.4,No
C10039,48.0,Female,13,One year,No,Electronic check,Yes,62.75,802.55,4,17.7,No
C10040,71.0,Male,61,Month-to-month,No,Credit card,Yes,50.69,2674.37,0,25.8,No
C10041,47.0,Male,72,Two year,Fiber optic,Electronic check,Yes,50.17,3410.08,3,6.2,No
C10042,26.0,Male,10,One year,Fiber optic,Electronic check,Yes,49.33,534.53,0,19.7,No
C10043,19.0,Male,59,Month-to-month,DSL,Bank transfer,No,45.65,2311.81,1,17.8,No
C10044,26.0,Male,59,Two year,Fiber Optic,Electronic check,Yes,115.2,6504.79,3,21.6,No
C10045,76.0,Male,54,One year,Fiber optic,Mailed check,Yes,71.55,4270.12,3,32.3,No
C10046,47.0,Male,27,Month-to-month,No,Electronic check,Yes,84.51,1970.85,1,29.6,No
C10047,37.0,Female,34,Month-to-month,No,Mailed check,Yes,54.24,1940.83,1,27.6,No
C10048,45.0,Male,61,One year,DSL,Credit card,Yes,60.91,3416.62,2,4.2,No
C10049,33.0,Female,11,Month-to-month,Fiber optic,Credit card,Yes,49.3,587.84,0,30.0,No
C10050,71.0,Female,60,Month-to-month,DSL,Electronic check,No,18.0,,1,13.4,No
C10051,79.0,Female,67,Month-to-month,DSL,Bank transfer,No,34.68,2530.68,0,23.9,No
C10052,23.0,Male,49,One year,Fiber optic,Mailed check,No,25.17,,0,4.2,No
C10053,62.0,Female,24,One year,DSL,Mailed check,No,18.0,429.17,2,3.0,No
C10054,38.0,Male,40,One year,Fiber optic,Bank transfer,No,38.7,1641.5,2,15.9,No
C10055,20.0,Female,3,One year,Fiber optic,Credit card,Yes,94.15,258.82,1,36.0,No
C10056,75.0,Male,68,Month-to-month,DSL,Mailed check,Yes,64.02,3971.58,1,21.1,No
C10057,21.0,Male,24,One year,Fiber optic,Electronic check,Yes,93.39,1921.61,1,25.3,No
C10058,30.0,Male,4,Month-to-month,Fiber optic,Credit card,Yes,74.04,328.38,0,40.6,No
C10059,19.0,Female,57,Month-to-month,No,Credit card,Yes,82.22,4881.99,4,23.2,Yes
C10060,47.0,Male,48,One year,No,Mailed check,Yes,45.18,2215.49,1,0.0,No
C10061,55.0,Female,45,Month-to-month,DSL,Bank transfer,No,76.53,3619.07,1,11.7,Yes
C10062,37.0,Male,3,One year,No,Credit card,Yes,81.03,241.52,3,14.3,No
C10063,,Female,54,One year,No,Bank transfer,Yes,52.31,2764.17,1,0.0,No
C10064,25.0,Male,46,One year,Fiber optic,Mailed check,Yes,77.31,3454.46,1,0.0,No
C10065,75.0,Male,57,One year,Fiber optic,Credit card,Yes,77.46,4516.41,0,9.3,No
C10066,67.0,Male,60,One year,Fiber optic,Credit card,No,52.91,2871.15,3,19.4,No
C10067,76.0,Male,15,Month-to-month,Fiber optic,Bank transfer,Yes,40.3,658.77,0,52.2,No
C10068,50.0,Female,15,Month-to-month,DSL,Electronic check,No,38.95,624.66,1,26.0,No
C10069,51.0,Male,67,Month-to-month,Fiber optic,Mailed check,No,66.9,4233.0,2,31.8,No
C10070,66.0,Female,38,Month-to-month,Fiber optic,Bank transfer,Yes,72.19,2760.3,0,31.9,No
C10071,56.0,Male,31,Month-to-month,Fiber optic,Mailed check,Yes,47.56,1309.35,2,40.5,Yes
C10072,45.0,Female,20,Two year,Fiber optic,Bank transfer,Yes,65.58,1459.2,2,24.5,No
C10073,36.0,Male,46,Month-to-month,No,Bank transfer,Yes,77.55,3901.85,3,32.7,No
C10074,48.0,Male,55,Month-to-month,Fiber optic,Electronic check,Yes,78.6,4750.6,1,32.0,No
C10075,21.0,Male,0,Month-to-month,Fiber optic,Bank transfer,No,99.14,0.0,0,48.5,Yes
C10076,29.0,Male,40,Month-to-month,Fiber optic,Bank transfer,Yes,93.09,3335.1,0,35.9,Yes
C10077,63.0,Female,72,One year,DSL,Electronic check,No,42.97,2806.67,1,0.0,No
C10078,71.0,Male,20,One year,DSL,Bank transfer,Yes,102.04,1784.27,1,11.2,No
C10079,24.0,Male,20,One year,DSL,Bank transfer,No,53.32,941.02,2,4.3,No
C10080,24.0,Male,64,One year,Fiber optic,Electronic check,Yes,87.99,,0,1.3,No
C10081,23.0,Male,4,Month-to-month,Fiber optic,Bank transfer,Yes,66.5,297.19,0,44.6,No
C10082,67.0,Male,29,One year,,Mailed check,Yes,55.93,1411.11,1,15.2,No
C10083,37.0,Female,33,Month-to-month,DSL,Mailed check,Yes,25.23,,1,24.6,YES
C10084,38.0,Male,58,Month-to-month,DSL,Bank transfer,No,61.23,3811.86,2,19.7,No
C10085,18.0,Male,9,Month-to-month,DSL,Electronic check,Yes,30.69,278.05,1,23.8,Yes
C10086,78.0,Male,31,One year,DSL,Electronic check,Yes,86.28,2832.73,1,6.2,No
C10087,44.0,Female,11,Month-to-month,Fiber optic,Mailed check,Yes,98.37,1104.09,3,55.9,Yes
C10088,67.0,Male,57,Month-to-month,Fiber optic,Credit card,Yes,47.47,2944.41,1,33.6,Yes
C10089,61.0,Male,46,Month-to-month,DSL,Electronic check,Yes,71.64,3369.21,1,13.9,No
C10090,26.0,Female,36,Month-to-month,Fiber optic,Credit card,Yes,49.04,,1,48.1,Yes
C10091,67.0,Female,28,One year,No,Electronic check,Yes,51.17,1493.57,1,6.5,No
C10092,52.0,Female,11,Month-to-month,DSL,Mailed check,Yes,82.04,876.09,1,26.1,No
C10093,55.0,Male,67,Month-to-month,DSL,Mailed check,Yes,64.15,4054.94,2,10.5,No
C10094,30.0,Female,47,Month-to-month,No,Mailed check,No,103.27,4738.49,2,27.5,No
C10095,70.0,Male,23,One year,DSL,Electronic check,Yes,54.39,1120.65,0,13.4,No
C10096,75.0,Male,30,Month-to-month,No,Credit card,No,86.99,2779.52,0,31.6,No
C10097,43.0,Female,53,Month-to-month,DSL,Mailed check,Yes,67.14,3275.13,0,31.4,No
C10098,23.0,Female,52,Month-to-month,No,Credit card,Yes,82.51,3824.8,2,26.6,No
C10099,70.0,Female,33,Two year,Fiber optic,Bank transfer,Yes,55.16,1668.31,1,18.2,Yes
C10100,73.0,Male,22,Two year,DSL,Bank transfer,Yes,63.91,1514.79,2,6.1,No
C10101,49.0,Female,48,One year,DSL,Mailed check,Yes,62.46,2815.66,0,6.8,No
C10102,53.0,Female,48,Month-to-month,Fiber optic,Bank transfer,Yes,46.61,2316.11,2,25.0,No
C10103,31.0,Female,43,Two year,Fiber optic,Credit card,Yes,79.57,3699.44,0,15.0,No
